feature,importance,rank
bucket_15_30_trade_count,0.0033591481254384905,132
bucket_0_15_up_vwap,0.0033575080789540433,133
up_token_first_price,0.003355234667111345,134
bucket_15_30_up_price_change,0.003354732316044099,135
token_first_abs_sum_minus_one,0.0032939401568488178,136
early_trade_count,0.003284232253733658,137
bucket_15_30_up_vwap,0.003260827771842929,138
bucket_30_60_down_last_price,0.003224154038035789,139
bucket_15_30_vwap_complement_up,0.003216166155713096,140
down_token_trade_count,0.003212133284116483,141
bucket_0_15_last_no_vig_up,0.0032023924552059043,142
down_token_price_range,0.0031591783873473876,143
bucket_15_30_down_vwap,0.0031485881468140764,144
down_token_first_price,0.003130755139261157,145
early_unique_tx_count,0.003121804090590986,146
bucket_30_60_last_sum_minus_one,0.003090739144404823,147
token_first_complement_up,0.003074253804770457,148
bucket_15_30_last_sum_minus_one,0.003022746183033339,149
bucket_15_30_down_price_change,0.0029898393529354385,150
bucket_60_90_last_sum_minus_one,0.002932271065826746,151
bucket_30_60_last_abs_sum_minus_one,0.002912789304029903,152
bucket_0_15_down_vwap,0.002907341952517142,153
early_active_seconds,0.002903132953713113,154
bucket_0_15_last_sum_minus_one,0.0027918806602007253,155
bucket_0_15_vwap_complement_up,0.0027854381754208683,156
bucket_0_15_up_trade_share,0.002673119620863065,157
bucket_15_30_last_complement_up,0.0026358718270384097,158
bucket_15_30_up_last_price,0.0026258513734234313,159
bucket_15_30_last_abs_sum_minus_one,0.002595539747188151,160
bucket_0_15_last_abs_sum_minus_one,0.0025324038827681684,161
bucket_60_90_last_abs_sum_minus_one,0.002527805685129685,162
early_first_trade_second,0.0024911168475301735,163
bucket_15_30_down_last_price,0.0024632824619866002,164
bucket_90_120_last_sum_minus_one,0.0024541782306278783,165
bucket_0_15_trade_count,0.0023981342670722594,166
token_last_sum_minus_one,0.0023609233107524763,167
bucket_0_15_up_last_price,0.002329529256771219,168
bucket_90_120_last_abs_sum_minus_one,0.0022560661526933486,169
token_last_abs_sum_minus_one,0.0021551502847206626,170
bucket_0_15_last_complement_up,0.0021362861766428573,171
bucket_0_15_down_last_price,0.002127978728126308,172
dayofweek_utc,0.002085039204945849,173
bucket_0_15_down_price_change,0.002021367321502036,174
bucket_0_15_up_price_change,0.001778141078330009,175
down_token_large_trade_count,0.0015656013713847062,176
up_token_large_trade_count,0.0014927297779524487,177
early_last_trade_second,0.000724944305879958,178
is_europe_hours,0.0006866538953771496,179
is_us_hours,0.0006433945988258591,180
is_asia_hours,0.0006327350706808078,181
buy_sell_count_imbalance,1.2471804138421158e-05,182
buy_sell_size_imbalance,2.0918360439573764e-06,183
up_token_missing_early,5.377658760318545e-07,184
early_has_trade,2.7896604511517613e-08,185
buy_size_sum,0.0,186
buy_trade_count,0.0,187
down_token_missing_early,0.0,188
source_is_sell_only,0.0,189
