sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied,model,roc_auc
1723.0,0.7028438769587928,0.7576687116564417,0.7835420393559929,0.7706053755062172,0.698200812536274,0.7696118909991743,0.2623571028389885,0.23038810900082574,1.138761475046649,0.5383980181668043,0.46160198183319573,0.63,0.31,1211.0,652.0,559.0,True,hist_gradient_boosting_regularized,0.780736793589443
1723.0,0.7040046430644226,0.7948717948717948,0.7549575070821529,0.7749146509769739,0.7069065583284968,0.7716405605935697,0.2643857724333839,0.22835943940643033,1.1577615233274177,0.4179719703215169,0.5820280296784831,0.68,0.395,1213.0,507.0,706.0,True,hist_gradient_boosting_shallow,0.7826086956521738
1723.0,0.7080673244341266,0.7922705314009661,0.7813021702838063,0.7867863508423862,0.7086477074869414,0.7868852459016393,0.27963045774145356,0.21311475409836067,1.3121121478637436,0.509016393442623,0.49098360655737705,0.625,0.375,1220.0,621.0,599.0,True,random_forest_sqrt,0.7908267365294478
1723.0,0.7011027278003482,0.7906976744186046,0.7805280528052805,0.7856128636119426,0.7109692396982008,0.7855960264900662,0.27834123832988045,0.2144039735099338,1.2982093278088631,0.49834437086092714,0.5016556291390728,0.635,0.37,1208.0,602.0,606.0,True,extra_trees_sqrt,0.7943764773741082
1723.0,0.7150319210679048,0.751004016064257,0.8185567010309278,0.7847803585475924,0.7109692396982008,0.7775974025974026,0.27034261443721685,0.22240259740259738,1.2155551130899678,0.6063311688311688,0.39366883116883117,0.56,0.29,1232.0,747.0,485.0,True,gradient_boosting_shallow,0.7903793128542665
1723.0,0.7040046430644226,0.749003984063745,0.8282608695652174,0.7886324268144812,0.7092280905397562,0.7790601813685079,0.2718053932083221,0.22093981863149215,1.2302236640361743,0.6207749381698269,0.3792250618301731,0.535,0.275,1213.0,753.0,460.0,True,adaboost,0.7896030597310606
1723.0,0.7005223447475334,0.7815533980582524,0.7826825127334465,0.7821179553958495,0.7086477074869414,0.7821043910521955,0.27484960289200977,0.21789560894780446,1.261382017835193,0.512013256006628,0.487986743993372,0.64,0.335,1207.0,618.0,589.0,True,logistic_regression_balanced,0.7897108726648392
1723.0,0.7011027278003482,0.7693522906793049,0.7878260869565218,0.7785891888179133,0.7092280905397562,0.7781456953642384,0.2708909072040526,0.2218543046357616,1.2210306563525952,0.5240066225165563,0.4759933774834437,0.64,0.305,1208.0,633.0,575.0,True,lightgbm_gbdt,0.7840196974230015
1723.0,0.702263493905978,0.7629009762900977,0.8154158215010142,0.789158398895556,0.710388856645386,0.784297520661157,0.2770427325009712,0.215702479338843,1.2843743537401346,0.5925619834710744,0.40743801652892564,0.585,0.295,1210.0,717.0,493.0,True,catboost_ordered,0.793488368332107
