hour_utc_bucket,row_count,actual_up_rate,p_up_mean,coverage,accuracy,selection_score_proxy
0,72,0.3888888888888889,0.48845266938453363,0.7222222222222222,0.6923076923076923,0.6014219384793962
1,72,0.5555555555555556,0.4568004418014786,0.7638888888888888,0.7636363636363637,1.0846912808607527
2,72,0.5,0.4680420715561627,0.7222222222222222,0.8461538461538461,2.2028438769587924
3,72,0.4583333333333333,0.44062119608765055,0.7777777777777778,0.7321428571428571,0.8395821242019729
4,72,0.4583333333333333,0.5119746726623995,0.6944444444444444,0.84,2.0796575739988383
5,72,0.5694444444444444,0.49209320382731153,0.7083333333333334,0.7254901960784313,0.7950004145593231
6,72,0.5416666666666666,0.49651291738830294,0.7361111111111112,0.8679245283018868,2.7307851753585943
7,72,0.5138888888888888,0.5294817307511361,0.6666666666666666,0.7708333333333334,1.150160924391917
8,72,0.5416666666666666,0.5078330408971294,0.6944444444444444,0.78,1.2397509629082468
9,72,0.4444444444444444,0.4591990882732536,0.7083333333333334,0.8235294117647058,1.79222286709228
10,72,0.5833333333333334,0.5336088557317196,0.6527777777777778,0.851063829787234,2.308432136638753
11,72,0.5833333333333334,0.4972857156608804,0.5833333333333334,0.8809523809523809,3.139059779454439
12,72,0.5416666666666666,0.46222933788739934,0.6388888888888888,0.6521739130434783,0.41664248403946597
13,72,0.4583333333333333,0.452117219317559,0.7361111111111112,0.8301886792452831,1.9017218030566845
14,72,0.4861111111111111,0.4724237083517279,0.75,0.7777777777777778,1.217353453279164
15,72,0.5694444444444444,0.580618969137788,0.8055555555555556,0.7586206896551724,1.04137302047923
16,69,0.4057971014492754,0.4829902800884814,0.6811594202898551,0.8085106382978723,1.5732249951634736
17,72,0.5833333333333334,0.5247944049883132,0.7361111111111112,0.7547169811320755,1.0088843251930892
18,72,0.5138888888888888,0.5326623196647357,0.7638888888888888,0.7818181818181819,1.2584155542658155
19,72,0.5,0.5183077634195683,0.7361111111111112,0.7735849056603774,1.1762913522925134
20,72,0.4583333333333333,0.4638262796555911,0.6805555555555556,0.8775510204081632,3.0240858966918154
21,70,0.5285714285714286,0.48627837356802217,0.7142857142857143,0.76,1.0531050493325593
22,72,0.5,0.496730387958741,0.6666666666666666,0.7708333333333334,1.150160924391917
23,72,0.4861111111111111,0.4893710773275966,0.6527777777777778,0.7872340425531915,1.3159024956471272
