sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied,model,roc_auc
1723.0,0.701683110853163,0.7883211678832117,0.7549167927382754,0.7716189803107436,0.7045850261172374,0.7700578990901572,0.26280311092997144,0.2299421009098428,1.1429099320659553,0.4532671629445823,0.5467328370554178,0.685,0.355,1209.0,548.0,661.0,True,hist_gradient_boosting_regularized,0.784510246271694
1723.0,0.7005223447475334,0.7547683923705722,0.8054968287526427,0.7801326105616075,0.7080673244341266,0.7746478873239436,0.26739309916375786,0.22535211267605637,1.1865568775391753,0.608119304059652,0.39188069594034797,0.57,0.28,1207.0,734.0,473.0,True,hist_gradient_boosting_shallow,0.7877082474199018
1723.0,0.7045850261172374,0.7859531772575251,0.7775974025974026,0.7817752899274639,0.7121300058038306,0.7817133443163097,0.2744585561561239,0.21828665568369032,1.2573308949944693,0.4925864909390445,0.5074135090609555,0.635,0.38,1214.0,598.0,616.0,True,random_forest_sqrt,0.7905801144434292
1723.0,0.702263493905978,0.7789968652037618,0.7832167832167832,0.7811068242102726,0.709808473592571,0.78099173553719,0.27373694737700427,0.21900826446280997,1.2498932314195286,0.5272727272727272,0.4727272727272727,0.62,0.35,1210.0,638.0,572.0,True,extra_trees_sqrt,0.7938643659386599
1723.0,0.7045850261172374,0.7516688918558078,0.8236559139784946,0.7876624029171512,0.7109692396982008,0.7792421746293245,0.2719873864691388,0.22075782537067545,1.23206226557289,0.6169686985172982,0.3830313014827018,0.555,0.285,1214.0,749.0,465.0,True,gradient_boosting_shallow,0.7916690250745931
1723.0,0.7045850261172374,0.7698170731707317,0.7867383512544803,0.778277712212606,0.7127103888566454,0.7775947281713345,0.2703399400111487,0.22240527182866554,1.215528471013091,0.5403624382207578,0.4596375617792422,0.62,0.3,1214.0,656.0,558.0,True,adaboost,0.7901239309673787
1723.0,0.7028438769587928,0.7673716012084593,0.7959927140255009,0.7816821576169801,0.7092280905397562,0.7803468208092486,0.2730920326490628,0.21965317919075145,1.243287411797049,0.5466556564822461,0.45334434351775393,0.605,0.315,1211.0,662.0,549.0,True,logistic_regression_balanced,0.7902068121602208
1723.0,0.7011027278003482,0.7521613832853026,0.8132295719844358,0.7826954776348691,0.7080673244341266,0.7781456953642384,0.2708909072040526,0.2218543046357616,1.2210306563525952,0.5745033112582781,0.42549668874172186,0.605,0.27,1208.0,694.0,514.0,True,lightgbm_gbdt,0.7863457614692746
1723.0,0.7092280905397562,0.7569060773480663,0.8152610441767069,0.7860835607623866,0.7167730702263494,0.7806873977086743,0.2734326095484886,0.21931260229132565,1.2467710778666161,0.5924713584288053,0.4075286415711948,0.575,0.3,1222.0,724.0,498.0,True,catboost_ordered,0.7936986035529752
