model,roc_auc,coverage,accepted_sample_accuracy,accepted_count,up_prediction_count,down_prediction_count,selected_t_up,selected_t_down,selection_score,coverage_constraint_satisfied
adaboost,0.7975482120708564,0.7052224371373308,0.7899067471201316,1823,887,936,0.645,0.41,1.3716096580493,True
logistic_regression_balanced,0.7967526590268035,0.7009671179883946,0.7875275938189845,1812,919,893,0.645,0.345,1.3450536310884469,True
gradient_boosting_shallow,0.7979217448770934,0.7063829787234043,0.787513691128149,1826,836,990,0.67,0.41,1.344900197411713,True
extra_trees_sqrt,0.7992650263149073,0.7009671179883946,0.7869757174392936,1812,739,1073,0.685,0.42,1.338978362614125,True
random_forest_sqrt,0.7949843642998414,0.7005802707930368,0.785753727222529,1811,942,869,0.625,0.36,1.3256375999521426,True
catboost_ordered,0.7985119745997693,0.7029013539651837,0.7848101265822784,1817,797,1020,0.68,0.395,1.3154397542382519,True
hist_gradient_boosting_shallow,0.7930861711450696,0.7001934235976789,0.7779005524861878,1810,901,909,0.65,0.345,1.2434057950094786,True
lightgbm_gbdt,0.7886289191014141,0.7063829787234043,0.7765607886089814,1826,1050,776,0.605,0.27,1.2299541093032955,True
hist_gradient_boosting_regularized,0.7890371713031027,0.7013539651837524,0.7755102040816326,1813,926,887,0.65,0.32,1.219518199402145,True
