prediction_side,fallback_level,is_reliable,row_count,avg_a_win,avg_sample_markets
down,level_0_side_time30_price005,True,14611,0.4860273313650347,591.033810143043
down,level_1_side_time60_price005,True,2565,0.513045702511051,522.9333333333333
down,level_2_side_time30_price010,True,684,0.39056086857274463,412.6666666666667
down,level_3_side_time60_price010,True,304,0.4668076441102757,336.375
down,level_4_side_price010,True,2736,0.7526900731799323,3004.25
up,level_0_side_time30_price005,True,14345,0.48216826920973105,597.5046357615894
up,level_1_side_time60_price005,True,2470,0.537210920520387,571.5846153846154
up,level_2_side_time30_price010,True,855,0.42332209297424284,426.26666666666665
up,level_3_side_time60_price010,True,494,0.5253615640833685,396.0769230769231
up,level_4_side_price010,True,2736,0.7599840551856015,2985.2361111111113
