fallback_level,is_reliable,is_positive_ev,row_count,avg_a_win,avg_f_kelly,avg_sample_markets
level_0,True,False,3135,0.6743341146312145,0.0,935.5304625199362
level_0,True,True,247,0.06225422619828797,0.150855439049129,1347.7287449392713
level_1,True,False,265,0.620373283701834,0.0,508.788679245283
level_1,True,True,1,0.03587443946188341,0.0008648106164678179,280.0
level_4,True,False,92,0.8933023336746181,0.0,5910.391304347826
level_4,True,True,60,0.09154778887303852,0.19669489130686915,5917.0
