hour_utc_bucket,row_count,actual_up_rate,p_up_mean,coverage,accuracy,selection_score_proxy
0,108,0.3888888888888889,0.4913141990123081,0.6944444444444444,0.72,0.7794970986460346
1,108,0.5277777777777778,0.4609925492491566,0.7592592592592593,0.7439024390243902,0.9455834945196646
2,108,0.49074074074074076,0.47707927979510806,0.7314814814814815,0.810126582278481,1.6241650548033524
3,108,0.4722222222222222,0.44942685448087544,0.7129629629629629,0.7792207792207793,1.2568210262828539
4,108,0.5370370370370371,0.4936194906975376,0.6666666666666666,0.7638888888888888,1.110274206394356
5,108,0.5462962962962963,0.4920781286807373,0.7222222222222222,0.7435897435897436,0.9432108317214701
6,108,0.5185185185185185,0.4881897655810716,0.7407407407407407,0.8625,2.623703182697381
7,108,0.49074074074074076,0.522647269500018,0.6388888888888888,0.8115942028985508,1.6446064573724153
8,108,0.5555555555555556,0.50987961410964,0.6944444444444444,0.7866666666666666,1.33558994197292
9,108,0.4166666666666667,0.44542381337914666,0.6666666666666666,0.8055555555555556,1.5624758220502903
10,108,0.5,0.5138141927065513,0.6203703703703703,0.8507462686567164,2.3383365570599612
11,108,0.5462962962962963,0.46965861596851793,0.6481481481481481,0.8,1.491295938104449
12,108,0.5462962962962963,0.4828041143440198,0.6759259259259259,0.726027397260274,0.8186460348162475
13,108,0.4074074074074074,0.45529977117919324,0.7222222222222222,0.8205128205128205,1.7760154738878138
14,108,0.5185185185185185,0.4912510029489346,0.7407407407407407,0.8625,2.623703182697381
15,108,0.5,0.5205918939990327,0.7962962962962963,0.7674418604651163,1.1425145067698261
16,103,0.4563106796116505,0.473642276976903,0.6893203883495146,0.8169014084507042,1.721261717006398
17,108,0.6111111111111112,0.5171189111885824,0.8055555555555556,0.7471264367816092,0.9703886055917
18,108,0.5185185185185185,0.5345083776795468,0.75,0.7530864197530864,1.0179497098646035
19,108,0.5,0.5148656458362568,0.6574074074074074,0.8028169014084507,1.52688588007737
20,108,0.4537037037037037,0.45357391627406,0.7129629629629629,0.8571428571428571,2.487814313346227
21,106,0.49056603773584906,0.4885556493912252,0.7075471698113207,0.8,1.491295938104449
22,108,0.5,0.49189025140144776,0.6944444444444444,0.8,1.491295938104449
23,108,0.46296296296296297,0.47505579366491685,0.6759259259259259,0.7397260273972602,0.9143642471749971
