prediction_side,decision_second_bucket,current_price_bucket,order_delay_seconds,limit_price,win_market_count,win_fill_market_count,a_win_market_fill,lose_market_count,lose_fill_market_count,a_lose_market_fill,fallback_level
down,120_149,any,120,0.55,11,11,0.0107108081791626,9,9,0.0091001011122345,side_delay_price
down,120_149,any,180,0.6499999999999999,197,197,0.1918208373904576,46,46,0.0465116279069767,side_delay_price
up,120_149,any,120,0.55,0,0,0.0,0,0,0.0,side_delay_price
down,120_149,any,120,0.55,0,0,0.0,1,1,0.0010111223458038,side_delay_price
up,120_149,any,180,0.6499999999999999,170,170,0.1718907987866532,63,63,0.0613437195715676,side_delay_price
down,120_149,any,240,0.75,415,415,0.4040895813047712,106,106,0.1071789686552072,side_delay_price
up,120_149,any,240,0.75,395,395,0.3993933265925177,102,102,0.0993184031158714,side_delay_price
up,120_149,any,120,0.6499999999999999,91,91,0.0920121334681496,11,11,0.0107108081791626,side_delay_price
down,120_149,any,120,0.6499999999999999,92,92,0.0895813047711781,9,9,0.0091001011122345,side_delay_price
down,120_149,any,120,0.6499999999999999,33,33,0.0321324245374878,0,0,0.0,side_delay_price
down,120_149,any,180,0.75,315,315,0.3067185978578383,26,26,0.0262891809908999,side_delay_price
up,120_149,any,120,0.6499999999999999,27,27,0.0273003033367037,1,1,0.0009737098344693,side_delay_price
down,120_149,any,120,0.6499999999999999,4,4,0.0038948393378773,0,0,0.0,side_delay_price
up,120_149,any,120,0.6499999999999999,1,1,0.0010111223458038,0,0,0.0,side_delay_price
up,120_149,any,180,0.75,232,232,0.2345803842264914,35,35,0.0340798442064264,side_delay_price
up,120_149,any,120,0.75,177,177,0.1789686552072801,8,8,0.0077896786757546,side_delay_price
down,120_149,any,120,0.75,158,158,0.1538461538461538,4,4,0.0040444893832153,side_delay_price
up,120_149,any,120,0.75,64,64,0.0647118301314459,0,0,0.0,side_delay_price
down,120_149,any,240,0.8500000000000001,556,556,0.5413826679649465,68,68,0.0687563195146612,side_delay_price
down,120_149,any,120,0.75,56,56,0.0545277507302823,1,1,0.0010111223458038,side_delay_price
up,120_149,any,240,0.8500000000000001,524,524,0.5298281092012134,71,71,0.0691333982473223,side_delay_price
up,120_149,any,120,0.75,9,9,0.0091001011122345,0,0,0.0,side_delay_price
down,120_149,any,120,0.75,9,9,0.0087633885102239,0,0,0.0,side_delay_price
down,120_149,any,180,0.8500000000000001,429,429,0.4177215189873418,9,9,0.0091001011122345,side_delay_price
up,120_149,any,180,0.8500000000000001,376,376,0.3801820020222446,19,19,0.0185004868549172,side_delay_price
up,120_149,any,120,0.8500000000000001,287,287,0.2901921132457027,1,1,0.0009737098344693,side_delay_price
down,120_149,any,120,0.8500000000000001,255,255,0.2482960077896786,2,2,0.0020222446916076,side_delay_price
up,120_149,any,120,0.8500000000000001,110,110,0.1112234580384226,0,0,0.0,side_delay_price
down,120_149,any,120,0.8500000000000001,91,91,0.0886075949367088,0,0,0.0,side_delay_price
up,120_149,any,120,0.8500000000000001,10,10,0.0101112234580384,0,0,0.0,side_delay_price
down,120_149,any,120,0.8500000000000001,4,4,0.0038948393378773,0,0,0.0,side_delay_price
down,120_149,any,240,0.95,939,939,0.9143135345666992,37,37,0.0374115267947421,side_delay_price
up,120_149,any,240,0.95,892,892,0.9019211324570272,32,32,0.0311587147030185,side_delay_price
down,120_149,any,180,0.95,555,555,0.5404089581304771,3,3,0.0030333670374115,side_delay_price
up,120_149,any,180,0.95,503,503,0.5085945399393327,10,10,0.0097370983446932,side_delay_price
up,120_149,any,120,0.95,261,261,0.2639029322548028,0,0,0.0,side_delay_price
down,120_149,any,120,0.95,260,260,0.2531645569620253,0,0,0.0,side_delay_price
up,120_149,any,120,0.95,73,73,0.0738119312436804,0,0,0.0,side_delay_price
down,120_149,any,120,0.95,69,69,0.0671859785783836,0,0,0.0,side_delay_price
up,120_149,any,120,0.95,4,4,0.0040444893832153,0,0,0.0,side_delay_price
down,120_149,any,120,0.95,1,1,0.0009737098344693,0,0,0.0,side_delay_price
