model,roc_auc,coverage,accepted_sample_accuracy,accepted_count,up_prediction_count,down_prediction_count,selected_t_up,selected_t_down,selection_score,coverage_constraint_satisfied,holdout_coverage,holdout_accepted_sample_accuracy,holdout_accepted_count,holdout_up_prediction_count,holdout_down_prediction_count
random_forest_sqrt,0.7905801144434292,0.7045850261172374,0.7817133443163097,1214,598,616,0.635,0.38,1.2573308949944693,True,0.7363530778164924,0.7854889589905363,634,325,309
extra_trees_sqrt,0.7938643659386599,0.702263493905978,0.78099173553719,1210,638,572,0.62,0.35,1.2498932314195286,True,0.7340301974448316,0.7943037974683544,632,346,286
catboost_ordered,0.7936986035529752,0.7092280905397562,0.7806873977086743,1222,724,498,0.575,0.3,1.2467710778666161,True,0.7305458768873403,0.7742448330683624,629,380,249
logistic_regression_balanced,0.7902068121602208,0.7028438769587928,0.7803468208092486,1211,662,549,0.605,0.315,1.243287411797049,True,0.7084785133565621,0.7901639344262295,610,344,266
gradient_boosting_shallow,0.7916690250745931,0.7045850261172374,0.7792421746293245,1214,749,465,0.555,0.285,1.23206226557289,True,0.735191637630662,0.7677725118483413,633,396,237
lightgbm_gbdt,0.7863457614692746,0.7011027278003482,0.7781456953642384,1208,694,514,0.605,0.27,1.2210306563525952,True,0.7166085946573751,0.773095623987034,617,355,262
adaboost,0.7901239309673787,0.7045850261172374,0.7775947281713345,1214,656,558,0.62,0.3,1.215528471013091,True,0.7375145180023229,0.7952755905511811,635,355,280
hist_gradient_boosting_shallow,0.7877082474199018,0.7005223447475334,0.7746478873239436,1207,734,473,0.57,0.28,1.1865568775391753,True,0.718931475029036,0.7673667205169629,619,384,235
hist_gradient_boosting_regularized,0.784510246271694,0.701683110853163,0.7700578990901572,1209,548,661,0.685,0.355,1.1429099320659553,True,0.7073170731707317,0.7832512315270936,609,294,315
