condition_id,market_start_ts,final_outcome,label,p_up,prediction,hour_utc
0xb0a7a3b4378661ed118d83b819486f4ceae3adfb9b7b80c876b07107a2f83839,1778157600.0,up,1,0.2976135215387774,0,12.0
0xf88ff812e0382660a68cc8b1cbb9a596987cad54c1d6ac7867003dbf78953c72,1778158500.0,up,1,0.2976135215387774,0,12.0
0xd1de26720675377084c2e29fa12b5f00ff7480262c3d412aadf34affa00f37b9,1778163600.0,up,1,0.2976135215387774,0,14.0
0x8a5cb3c3253a1fe68092fb72dea2664389edd4ebfd8ffa5ced23fbf02e9c3691,1778164800.0,up,1,0.2976135215387774,0,14.0
0x8d29d595a22f4740cbebb705a0bffba5ec3cda7e649c0987eb8176c05ebb9927,1778166300.0,up,1,0.20687961053510862,0,15.0
0xa30844ac14e281a5f0dd1225d4ba623be003f55e7ba941a7f2eaf87c21782115,1778179800.0,up,1,0.2616126610115198,0,18.0
0x644f25483243ef985f31dcc52b922c8afd3b67d708243efa2167947c090fa80b,1778185200.0,up,1,0.2616126610115198,0,20.0
0x55a72ec85711b9a828cb04245c6b49a084da887cc1e4ecd2ec20370af570bb6f,1778199300.0,up,1,0.2976135215387774,0,0.0
0x139a0515d26a49b00582a659305ea4287ae0fddc28b6ce6d5d70d1027de8b376,1778201700.0,up,1,0.254139744374115,0,0.0
0x1587ee233e3c926209cc5c4f888f34c96c9c7f7c1448d17989d3b7a79c1cdf32,1778204100.0,up,1,0.15997878048107667,0,1.0
0x28293caf553ee0d4aa44d39b71deb7a325b2e463107d1118c71cf9e29d27a18c,1778213700.0,up,1,0.2616126610115198,0,4.0
0x00001032adc2a18f836a38d7da2ffc1d81cbcf44f9a8b33c9c941fd0a07e2914,1778214300.0,up,1,0.295080270867087,0,4.0
0xcbb6bf65681ccec10abbd7f6db2ed92c72a0f3d085e46eb56639dcd81656b02d,1778222100.0,up,1,0.295080270867087,0,6.0
0xaff9ffc05e92caebcb47ddf709d0927f9d70b0ccd3fd7d455eecae024ef76793,1778223300.0,up,1,0.2976135215387774,0,6.0
0xe50b488703b5bf67e17d0745c7c3f26c4cd23463a55b44775f9a47b1fe64154f,1778226300.0,up,1,0.2976135215387774,0,7.0
0xfa311908efaa07fd592998538c12df45a9353364045372d2b0a230ccf182b5d4,1778229600.0,up,1,0.2976135215387774,0,8.0
0x49ebd0f89932b140745039974781222d36daa1a7b537395f7efc1599dde44cfb,1778230200.0,up,1,0.2976135215387774,0,8.0
0xc777527053570bcf6d2800c67a4f7150811dd973adce151eac9f7e20b3416663,1778234100.0,up,1,0.22649381554593226,0,9.0
0xc5d15de264e61f4227698ec6cf9c1902128eca331c00812e541ef3462c6fdee6,1778235600.0,up,1,0.14354460752226902,0,10.0
0x1dc53c17f24717ce1de8828054663f71729dabe567d277d4aafc90412f7692e1,1778237100.0,up,1,0.2976135215387774,0,10.0
0x2ff68e32ad111f79e33258ba649bd8d2aba0a01ee12de4a6d08e1b3339661399,1778242200.0,up,1,0.2976135215387774,0,12.0
0xb8327e6e2315126127135a99df21a91496ee6e76c64e5746bce8ca3cb3262a37,1778243100.0,up,1,0.22649381554593226,0,12.0
0x6ed0b27e912982d6bb5b3b6d6f727674d9fff0d8f735118b35c55fc1d0283a08,1778244600.0,up,1,0.2048933834514062,0,12.0
0x0e774a35174299a570a884c7419325d176a67dddd0d06277a726efc464aebd42,1778250600.0,up,1,0.14504461072742547,0,14.0
0x9d42107c9ce9d29011b5e88aaacb309d167e754521904f44b95cb077515b6352,1778260200.0,up,1,0.14504461072742547,0,17.0
0x1041518f3fa1b74d1a30ea6ba1670c92963ab25f217e6664356e781c49db0d1b,1778270100.0,up,1,0.14354460752226902,0,19.0
0xd88a4ccad8afa98fa0a03036a9c46fadd2391bcd44fa235b84da3c06b97f0789,1778272200.0,up,1,0.14354460752226902,0,20.0
0x6f25e93d81efee2aff11327a1b04c960086f315b090d943e9077e7c23f359f64,1778275500.0,up,1,0.2976135215387774,0,21.0
0x40905be675bdde53dc85df926365fa5a6de2af634420c22c467d6e13d8a39dc4,1778276400.0,up,1,0.2976135215387774,0,21.0
0x4e7ee1d9d2836bf109ea9a0a6773fa59a8e6fe3cb2add24a19158001030ec99e,1778277000.0,up,1,0.2976135215387774,0,21.0
0xf7c2933adafc9db3f0792d98cb93039678d27ee04c4882d4d36819ca89efa780,1778278800.0,up,1,0.14504461072742547,0,22.0
0x393c91aca21ec07bd6f2987137867e146c842a2d0e9b27c73f5431247bf8e2a9,1778282100.0,up,1,0.14671694141451302,0,23.0
0x14b51036da0dd5442c491b0e61c04ff0d97b9a1140ac929b44e4966a96531aba,1778288100.0,up,1,0.22649381554593226,0,0.0
0x56db27a3f92abb693549a9edbe8e3cea64666d80bc341da6499a7c75d089fe5b,1778288400.0,up,1,0.2616126610115198,0,1.0
0x7ff753e20710f5dace9c9fec4a17b158c6ba35c4f5d5b101844dd51325f92890,1778291100.0,up,1,0.2976135215387774,0,1.0
0x635b454fb6d3d2606eb79227cbf6af0ecbb06b0ec4bf6899130e9020f83b63d3,1778292300.0,up,1,0.254139744374115,0,2.0
0xe1c48cae7c9c19755571252113971ef79ea74e385963280139628368a7dec78a,1778294700.0,up,1,0.2518438564838528,0,2.0
0x1ecdcb07f3d13cd656100354a0fe38f3a6e639ec4d56106a2e99e77dffb09d2b,1778298000.0,up,1,0.2976135215387774,0,3.0
0x465377a29d44d035a0f1681528d1422ac23fc73e43f5885e3bd661e40369fbae,1778298600.0,up,1,0.2976135215387774,0,3.0
0x7688f8123398226d69ec304eef32f64ec0676dad492aed372579110a091e3ae8,1778300400.0,up,1,0.2592727306447948,0,4.0
0x9945c6ed66a707d1d0277d3d45b125196bf57f91b1c4c49bf78a998273b4f194,1778304300.0,up,1,0.15835293886733381,0,5.0
0x77785536b7c7da14014e68b5c5706d9893cfd5a2b6a004e60595ce979553bc23,1778304600.0,up,1,0.2976135215387774,0,5.0
0x8b46eb584d3a7b9270a04c482306186735fb899ec6d13226a6e3d298f3d6953d,1778331300.0,up,1,0.15997878048107667,0,12.0
0x9ca03b07f7c8e2e790aa75c9e4bdc5893d1bb1dfebc3bc797eec4e22ff944d6a,1778332200.0,up,1,0.14354460752226902,0,13.0
0x83eefe9fee24bdfea3ca0fa7b623fdf17fde64e888ae23adeb8ce62e5c9c0f32,1778336700.0,up,1,0.22649381554593226,0,14.0
